custom_id,text,text_cleaned,label,domain
81,Өте жақсы дамыған және бастауыш мектеп оқушыларының математика сабақғына жетілдіреді менің ойымша бұған жүз бал қойуға болады өте керемет бұл мағанда көмектесті мен осыны шығарғанда математикадан олимпиада бірінші орын алдым Рахмет осыны жасаған адамдарға өте керемет енді айта алмаймын керемет бәрін лезде ақ шығарып береді өте қолайлы болды ♥️♥️♥️🥰🥰🥰🥰💝💝💝✊🏻✊🏻✊🏻✊🏻✊🏻😘😘😘🥰🥰😍😍😍💯💯💯💯💯💯💯💯,өте жақсы дамыған және бастауыш мектеп оқушыларының математика сабақғына жетілдіреді менің ойымша бұған жүз бал қойуға болады өте керемет бұл мағанда көмектесті мен осыны шығарғанда математикадан олимпиада бірінші орын алдым рахмет осыны жасаған адамдарға өте керемет енді айта алмаймын керемет бәрін лезде ақ шығарып береді өте қолайлы болды,1,appstore
82,Вкымды ұрлап алды қайда қарап отсындар разроботчиктар қайтару саясаты болмайт маа,вкымды ұрлап алды қайда қарап отсындар разроботчиктар қайтару саясаты болмайт маа,0,appstore
83,Сәлеметсіз бе!Клавиатура өте жақсы.Маған ұнады,сәлеметсіз бе клавиатура өте жақсы маған ұнады,1,appstore
84,Өте керемет. Ешқандай реклама қосылмаған. Керек деп ізденген кітаптар да бар екен. Араб тілін үйренушілерге де таптырмайтын көмекші.,өте керемет ешқандай реклама қосылмаған керек деп ізденген кітаптар да бар екен араб тілін үйренушілерге де таптырмайтын көмекші,1,appstore
85,Алла разы болсын өте жаксы,алла разы болсын өте жаксы,1,appstore
86,Фильтр ұнады.,фильтр ұнады,1,market
87,Рахмет Рахметттттттттттттттттттттттттттттттттттттт на сайт картасы кері байланыс болмайма нұсқа физика және химия кафедрасы тәрбие жұмысы факультет түлектері жерге орналастыру кафедрасы кадастр және химия кафедрасы тәрбие жұмысы факультет түлектері жерге орналастыру кафедрасы кадастр кафедрасы тәрбие жұмысы факультет түлектері сәулет өнері кафедрасы дизайн кафедрасы жерге орналастыру кафедрасы кадастр және химия кафедрасы тәрбие жұмысы факультет түлектері сәулет өнері кафедрасы дизайн кафедр,рахмет рахметт на сайт картасы кері байланыс болмайма нұсқа физика және химия кафедрасы тәрбие жұмысы факультет түлектері жерге орналастыру кафедрасы кадастр және химия кафедрасы тәрбие жұмысы факультет түлектері жерге орналастыру кафедрасы кадастр кафедрасы тәрбие жұмысы факультет түлектері сәулет өнері кафедрасы дизайн кафедрасы жерге орналастыру кафедрасы кадастр және химия кафедрасы тәрбие жұмысы факультет түлектері сәулет өнері кафедрасы дизайн кафедр,1,appstore
88,торт жулдыз берем уйткени бир сагат тартлат енди бес бол бир сагат болд,торт жулдыз берем уйткени бир сагат тартлат енди бес бол бир сагат болд,1,appstore
89,Бұл өте керемет ойын мен оны хапимодтан алған едім керемет бәрі ашық❤❤❤,бұл өте керемет ойын мен оны хапимодтан алған едім керемет бәрі ашық,1,appstore
90,"Уақытынан екі күн бұрын келді, рахмет. Көлікке қондырып жүріп көреміз, сонан соң қандай екендігін жазамын.",уақытынан екі күн бұрын келді рахмет көлікке қондырып жүріп көреміз сонан соң қандай екендігін жазамын,1,market
91,Рахмет күшті екен ғой! 🥺❤😘😻🤗🥰🥰🥰🥰🥰🥰,рахмет күшті екен ғой,1,appstore
92,Маған қатты ұнады👌круто💖💖айтарға сөзім жош,маған қатты ұнадыкрутоайтарға сөзім жош,1,appstore
93,Болады е шшс,болады е шшс,1,appstore
94,"Мама♡ және басқа, ал оның ішінде қазақ",мама және басқа ал оның ішінде қазақ,1,appstore
95,"Жақсы қосымша, тек қазақ тілі жетіспейді. Сосын қара тақырып қоссаңдар жақсы болар еді.",жақсы қосымша тек қазақ тілі жетіспейді сосын қара тақырып қоссаңдар жақсы болар еді,1,appstore
96,Алтел сеті ұстамайды,алтел сеті ұстамайды,1,mapping
97,Маған ұнады ойындары өте көп болса жақсы болар еді,маған ұнады ойындары өте көп болса жақсы болар еді,1,appstore
98,шынымды айтсам жақсы ойын,шынымды айтсам жақсы ойын,1,appstore
99,Сауатсыз жазылган иши,сауатсыз жазылган иши,0,appstore
100,Тамаша Among 😐,тамаша among,1,appstore
101,Өте керемет қосымша. Рахмет,өте керемет қосымша рахмет,1,appstore
102,Маған ұнады ұсыныстарыңыз,маған ұнады ұсыныстарыңыз,1,appstore
103,Таза қуатын болыпсындар ия не боп кетті расписания лига чемпионов қайда,таза қуатын болыпсындар ия не боп кетті расписания лига чемпионов қайда,0,appstore
104,Маған ұнады бырак керек емес,маған ұнады бырак керек емес,1,appstore
105,Зор өте зор қызықты екен👍👍✊,зор өте зор қызықты екен,1,appstore
106,"Жақсы, қаттылау болады енді",жақсы қаттылау болады енді,1,market
107,"Бұл лампа маған ұнады. Алдыңғы лампам 48 w-етін, ол лампам бұзылып қалғандықтан, басқасын алуға тура келді, бұл 120w болғандықтан алдым. Бірақ мощность сол 48 сияқты, жылдам кептіре ма деп ойлап едім. Бірақ бағасы қол жетімді. Жақсы екен.",бұл лампа маған ұнады алдыңғы лампам 48 w етін ол лампам бұзылып қалғандықтан басқасын алуға тура келді бұл 120w болғандықтан алдым бірақ мощность сол 48 сияқты жылдам кептіре ма деп ойлап едім бірақ бағасы қол жетімді жақсы екен,1,market
108,Мүлдем жұмыс жасамайды!,мүлдем жұмыс жасамайды,0,appstore
109,"Мебель маған ұнады, сапасы өте жақсы. Алғаныма өкінбеймін.",мебель маған ұнады сапасы өте жақсы алғаныма өкінбеймін,1,market
110,Қайырлы күн. Менде ой бар еді сіздерге қазір уақытта Билайн ұялы жəне Билайн үйде байланыс қолданушы жылдан жылға көбейе түсуде. Менім айтайын деген тарифтік жоспарға байланысты жақын арада оқу жылы басталады қашықтан оқу бағдарламасымен сол себепті тарифтік жоспар Білім ордасы деген бұл оқушыға жəне мұғалімге де тиімді қол жетімді болса жақсы болар еді.,қайырлы күн менде ой бар еді сіздерге қазір уақытта билайн ұялы жəне билайн үйде байланыс қолданушы жылдан жылға көбейе түсуде менім айтайын деген тарифтік жоспарға байланысты жақын арада оқу жылы басталады қашықтан оқу бағдарламасымен сол себепті тарифтік жоспар білім ордасы деген бұл оқушыға жəне мұғалімге де тиімді қол жетімді болса жақсы болар еді,1,appstore
111,5керемет,5керемет,1,appstore
112,Всем привет. Мен бұл ойынды қызық ойын деп ойлаймын. Қызық болса ДА батырмасын бас (◔‿◔),всем привет мен бұл ойынды қызық ойын деп ойлаймын қызық болса да батырмасын бас,1,appstore
113,Калайсыз,калайсыз,1,appstore
114,Оте керемет менин ратушам6- фулы,оте керемет менин ратушам6 фулы,1,appstore
115,Бұл жақсы даже оны мамамда жазып алды кім не істеп не қойып жатр бәрін біліп отырамыз,бұл жақсы даже оны мамамда жазып алды кім не істеп не қойып жатр бәрін біліп отырамыз,1,appstore
116,Өте ыңғайлы керемет приложения,өте ыңғайлы керемет приложения,1,appstore
117,Меники қосылмады код келмей жатыр неге?,меники қосылмады код келмей жатыр неге,1,appstore
118,Жағдайы керемет!,жағдайы керемет,1,market
119,"Алғаныма 3 күн болды. Өте жақсы мұздатқыш, іші кең екен. Ойлағанымдай болды. Өте қуаныштымын. Алуға кеңес беремін. Жеткізу орталығына да рахмет. Айтқан уақытында жеткізіп берді.",алғаныма 3 күн болды өте жақсы мұздатқыш іші кең екен ойлағанымдай болды өте қуаныштымын алуға кеңес беремін жеткізу орталығына да рахмет айтқан уақытында жеткізіп берді,1,market
120,"Дайындыкка оте жаксы приложение , рахмееееет",дайындыкка оте жаксы приложение рахмеет,1,appstore
121,Қашан жазыладыыыыы,қашан жазыладыы,0,appstore
122,Араб тілін қосыңыздаршы,араб тілін қосыңыздаршы,0,appstore
123,жақсы алла разыболсын,жақсы алла разыболсын,1,appstore
124,Шыгармашылык табыстар тiлеймiн,шыгармашылык табыстар тiлеймiн,1,appstore
125,оте жаксы маган катты унайды,оте жаксы маган катты унайды,1,appstore
126,Крч жаксы,крч жаксы,1,appstore
127,"Өте іші кең дүкен екен біраз зат таба аласыздар,акция скидка жасап тұрса дүркірейтін жер.Нағыз орталық ішінен киім дүкені де ашылған екен жақсылап араласаң үйге керек заттың біразы бар ...",өте іші кең дүкен екен біраз зат таба аласыздар акция скидка жасап тұрса дүркірейтін жер нағыз орталық ішінен киім дүкені де ашылған екен жақсылап араласаң үйге керек заттың біразы бар,1,mapping
128,Осындай програмлар кобие берсин,осындай програмлар кобие берсин,1,appstore
129,Ықшамды. Сатып алсаңыз өкінбейсіз.,ықшамды сатып алсаңыз өкінбейсіз,1,market
130,Тамаша қосымша жылдам қозғалады,тамаша қосымша жылдам қозғалады,1,appstore
131,Онады өсіресің досыбар.,онады өсіресің досыбар,1,appstore
132,"Өте жақсы, кызыма ұнады.Аса улкен.",өте жақсы кызыма ұнады аса улкен,1,market
133,"Жаксы жасалган дуние, менин көңілімнен шықты...",жаксы жасалган дуние менин көңілімнен шықты,1,appstore
134,Өте кушти,өте кушти,0,appstore
135,Ойнаған күшті,ойнаған күшті,1,appstore
136,Бәрі жақсы. Тек счеттан картаға аударым жасағанда кем дегенде жарты сағатта түседі. Соны реттесе бәрі керемет болар еді.👍 Рақмет!,бәрі жақсы тек счеттан картаға аударым жасағанда кем дегенде жарты сағатта түседі соны реттесе бәрі керемет болар еді рақмет,1,appstore
137,Тез тартылмаит 😭😡😠,тез тартылмаит,0,appstore
138,Керемет екен көп зат бар әдемі клавиатуралардың көп түрі бар,керемет екен көп зат бар әдемі клавиатуралардың көп түрі бар,1,appstore
139,"Ассалаумағалейкум құрметті жамағат,өте керемет қосымша. Орыс тілі барма?",ассалаумағалейкум құрметті жамағат өте керемет қосымша орыс тілі барма,1,appstore
140,Қазақстан жер боиыынша 9-орында болсада тəуелсіздік алғанымызға 30-жыл болсада бір программада қазақ тілі жоққо казакстанда шыққан программа болмаса😦😦😦,қазақстан жер боиыынша 9 орында болсада тəуелсіздік алғанымызға 30 жыл болсада бір программада қазақ тілі жоққо казакстанда шыққан программа болмаса,0,appstore
141,"Көрінген адам былғап, орынсыз атау жазып кетеді. Гугл модераторлары не қарайды, мүлдем?❓",көрінген адам былғап орынсыз атау жазып кетеді гугл модераторлары не қарайды мүлдем,0,appstore
142,Super мен де барлық лега бар,super мен де барлық лега бар,1,appstore
143,Жақсы ойын екен! Керемет 👍🏻,жақсы ойын екен керемет,1,appstore
144,Өте тамаша ойын бұл ойын арқылы көп нарсе үйренуге болады олар жемесе демек басқаларда жемейт ит түгілі малда сол үшін оларға ұнайтндай жасау керек,өте тамаша ойын бұл ойын арқылы көп нарсе үйренуге болады олар жемесе демек басқаларда жемейт ит түгілі малда сол үшін оларға ұнайтндай жасау керек,1,appstore
145,"Күшті приложения, жеке өз басым қатты ұнады. Супер, әр адамның жанына 
қалаған пернетақталар бар.",күшті приложения жеке өз басым қатты ұнады супер әр адамның жанына қалаған пернетақталар бар,1,appstore
146,Көңілімнен шықты. Жақсы жұмыс жасап тұр,көңілімнен шықты жақсы жұмыс жасап тұр,1,market
147,Ваз приора хэтчбек и е е не степ жатыр палуан ниет не жаналык баска жактан амалдаисызау по поводу оплаты за услуги по доставке и е не жаналык оздеринизде не капп удовольствиями циклотрона Ия оф оф оф оф оф оф оф оф оф оф оф оф оф оф оф оф оф оф оф оф оф оф оф нагашы не степ жатсындар уууууу по к вам в этом году мы не жаналык баска не жаналык баска жактан не жаналык н гкн н нун по ним не так уж много не бывает ничего не жаналык оздеринизде не капп удовольствиями не степ жатыр палуан ниет кабыл бо,ваз приора хэтчбек и е е не степ жатыр палуан ниет не жаналык баска жактан амалдаисызау по поводу оплаты за услуги по доставке и е не жаналык оздеринизде не капп удовольствиями циклотрона ия оф оф оф оф оф оф оф оф оф оф оф оф оф оф оф оф оф оф оф оф оф оф оф нагашы не степ жатсындар уу по к вам в этом году мы не жаналык баска не жаналык баска жактан не жаналык н гкн н нун по ним не так уж много не бывает ничего не жаналык оздеринизде не капп удовольствиями не степ жатыр палуан ниет кабыл бо,1,appstore
148,Сонгы обновлениядан кейн мулдем кредиттин калган сомасын коре алмайсын. Тупа ай сайын саласын канша калганын билмейсин бул оте жаман. Сол кредитин остатокты билип отыратындай или бурынгы калпына кайтадан алып келген дурыс.,сонгы обновлениядан кейн мулдем кредиттин калган сомасын коре алмайсын тупа ай сайын саласын канша калганын билмейсин бул оте жаман сол кредитин остатокты билип отыратындай или бурынгы калпына кайтадан алып келген дурыс,0,appstore
149,Кешеден берI  нур. Кз  тен жаналык келген жок.,кешеден берi нур кз тен жаналык келген жок,1,appstore
150,Ассалаумағалейкум. Барлығы жақсы. Құран сүрелердің аудио нұсқасын шығарсаңыздар нұр үстіне нұр болар еді. 👍👍👍☝️☝️,ассалаумағалейкум барлығы жақсы құран сүрелердің аудио нұсқасын шығарсаңыздар нұр үстіне нұр болар еді,1,appstore
151,"Әссәләмәғәлейкүм! Алматы қаласының Орталық мешіті! АЛЛА ТАҒАЛАНЫҢ үйіндегі қызметкерлерге алғысымыз шексіз! Жамағатқа жасап жатқан әрбір істеріне, уағыз-насихаттарына, білім, тәрбиелеріне АЛЛА ТАҒАЛА сауаптан жазсын!",әссәләмәғәлейкүм алматы қаласының орталық мешіті алла тағаланың үйіндегі қызметкерлерге алғысымыз шексіз жамағатқа жасап жатқан әрбір істеріне уағыз насихаттарына білім тәрбиелеріне алла тағала сауаптан жазсын,1,mapping
152,Мен жане қане көшіргем көшірілмеи қоиды жыныма тиып турсындар😠😬😤😠,мен жане қане көшіргем көшірілмеи қоиды жыныма тиып турсындар,0,appstore
153,Күшті оиын осы,күшті оиын осы,1,appstore
154,"Ыңғайлы.Материалының сапасы орташа, дақ қалады екен.Сапасы жоғары болса керемет болар еді, сосын қай жақтың жиһазы екенін көрсетсе.",ыңғайлы материалының сапасы орташа дақ қалады екен сапасы жоғары болса керемет болар еді сосын қай жақтың жиһазы екенін көрсетсе,0,market
155,Кей заттар жох екен,кей заттар жох екен,0,appstore
156,Өте қаты ұнаиды😍😍,өте қаты ұнаиды,1,appstore
157,Маған тожы қаты ұнады⭐⭐⭐⭐⭐,маған тожы қаты ұнады,1,appstore
158,Маған ұнады кодды жаздым бәрін тарттым видео және музыка және фотто 10/10 баға берем,маған ұнады кодды жаздым бәрін тарттым видео және музыка және фотто 10 10 баға берем,1,appstore
159,Мен бұл ойынды 2020ншы жыл бойы Ойнадым👍👍👍👍👍👍👍👍❤️❤️❤️❤️❤️❤️❤️,мен бұл ойынды 2020ншы жыл бойы ойнадым,1,appstore
160,Бұл ойын өте дерски бул ойынды ойнаса өкінбейсі,бұл ойын өте дерски бул ойынды ойнаса өкінбейсі,1,appstore
161,Бұл перне тақта өте керемет. Өйткені ол әріптерді үлкейтіп көрсетеді. Жәнеде стикерлер мен смайликтер бар екен. Яғни стикерлер мен смайликтер жасауға болады екен. Бұл өте керемет😍😍.,бұл перне тақта өте керемет өйткені ол әріптерді үлкейтіп көрсетеді жәнеде стикерлер мен смайликтер бар екен яғни стикерлер мен смайликтер жасауға болады екен бұл өте керемет,1,appstore
162,"Маған ұнады.Жүрісі жеңіл, көрінісі де әдемі коляска.",маған ұнады жүрісі жеңіл көрінісі де әдемі коляска,1,market
163,"Заказ почтамен 1 аптада келді, мен ауылдық жерде тұрғандықтан. Крем жақсы, ағарту әсері бар.",заказ почтамен 1 аптада келді мен ауылдық жерде тұрғандықтан крем жақсы ағарту әсері бар,1,market
164,"Өте жақсы екен, салмағы да ауырлау, ұнады.",өте жақсы екен салмағы да ауырлау ұнады,1,market
165,Мал ойын кірмит ешак,мал ойын кірмит ешак,0,appstore
166,ойын өте күшті.Менің анжелам 6🌹🌹🌹,ойын өте күшті менің анжелам 6,1,appstore
167,Жақсы куран,жақсы куран,1,appstore
168,бетті қалай ауыстырады,бетті қалай ауыстырады,0,bookstore
169,Маған бұл ойын ұнады себебі бұл миды жаттықтырады,маған бұл ойын ұнады себебі бұл миды жаттықтырады,1,appstore
170,"Шнур китайский екен, бізге келмейді.",шнур китайский екен бізге келмейді,1,market
171,Өте керемет тек смайликті басқан кезде қатып қалады😄,өте керемет тек смайликті басқан кезде қатып қалады,1,appstore
172,Жаксы май. Еринге жумсактык пен жылтырлык береди. Татти ииси бар. Алган тусим: карамельный элексир. Еринге туссиз болып жагылады.,жаксы май еринге жумсактык пен жылтырлык береди татти ииси бар алган тусим карамельный элексир еринге туссиз болып жагылады,1,market
173,маған оте оте унаді 👍👍сендерге унаса👇👇 маған жазің дар қанша адам ға унапті бірге білеик,маған оте оте унаді сендерге унаса маған жазің дар қанша адам ға унапті бірге білеик,1,appstore
